STATEFIP,PUMA,ees_per_capita
6,3745,77.88913116403891
6,3744,20.2657968252943
6,3752,14.51673073491963
6,3750,15.371203083417456
6,1303,5.988621618924045
6,1500,2.9633810766951245
6,7108,15.51100132130752
6,8509,5.476069575953084
6,3741,15.211646660751025
6,7109,17.12410786990468
6,3757,11.050983625248866
6,7103,6.670940689272781
6,5916,23.702572661257392
6,7114,8.48585690515807
6,3716,17.967013081019594
6,3737,23.72144912218895
6,5917,16.760768987170675
6,3713,10.654747209625656
6,3735,11.063194092113422
6,3710,15.881123010869393
6,3742,17.08352513937906
6,7101,9.469896252025505
6,3740,12.175953598547741
6,7321,17.73873706389044
6,7104,2.2806750798236277
6,6513,11.821906971369652
6,3715,14.804732738756163
6,3763,6.952600178512708
6,6706,9.548201568151692
6,7306,7.363842551227798
6,3747,9.485034226656525
6,3749,8.695652173913043
6,3733,21.490557002534484
6,6511,13.346145633141148
6,7110,16.38576779026217
6,3712,15.971439308530627
6,5907,11.663069971435956
6,3711,6.304680145439471
6,7113,16.1636325715818
6,107,11.594352262186952
6,7115,7.169592493014918
6,7111,4.734407500543292
6,6514,10.901219379253423
6,3743,16.524175587326674
6,3734,47.87864728322508
6,3751,22.057156806332934
6,5914,6.587895273716423
6,3764,9.531157808741433
6,5913,28.415470453092883
6,5912,18.678318782275035
6,3732,8.821638432439707
6,3736,13.273097015379745
6,1904,10.649799106062316
6,11105,0.9408997353719494
6,9501,6.933708128367299
6,3725,5.437146585471945
6,7106,12.020725388601036
6,6508,11.16484191281654
6,7107,9.419152276295133
6,5908,11.344618949536562
6,3730,5.274689604804025
6,3766,9.639199410937813
6,3756,14.422738678736428
6,3706,4.909710425279117
6,7318,20.605793365443322
6,3769,9.687201662267647
6,3762,7.711289327575571
6,3767,6.058294253595711
6,3754,11.0155968497452
6,3753,6.090815299133613
6,6506,9.937325116153383
6,11103,4.536966413297915
6,7102,5.253526429615879
6,3755,8.790539035853678
6,7702,9.884678747940692
6,6703,9.043779535582814
6,5904,3.4038956999407253
6,5910,13.002937451154768
6,6701,10.860676684043748
6,7701,7.456949569495695
6,7704,4.649926929719676
6,3722,10.864672740536095
6,3707,4.653370436206945
6,7901,3.970689095043858
6,1304,2.1803117845851956
6,6710,4.4547548203809235
6,7313,15.455950540958268
6,5500,4.679599995930783
6,9902,10.239582969711778
6,2903,2.314358451265611
6,11101,2.9916473206806597
6,3761,5.382433084022023
6,4701,1.2360939431396787
6,6704,12.375458835867857
6,7315,5.623242736644799
6,6101,5.950987278545227
6,3746,18.471938374469424
6,5909,20.49952658043996
6,6510,12.140833670578711
6,7506,3.34865245606337
6,110,7.34713268479696
6,7503,1.7904622078189483
6,1307,10.072747621712368
6,7502,4.299376009481867
6,7505,7.031751997381279
6,7501,3.7937671182174846
6,7504,3.042223970626803
6,8900,12.651396519538888
6,3758,8.94625299656047
6,5905,8.099289127141358
6,3709,4.5424459124476
6,5918,9.431773098487174
6,3739,10.80482791335055
6,3708,8.024161642278417
6,11106,2.5812835432418773
6,6515,11.02369012623206
6,6502,12.912607970714706
6,5911,10.290660720951584
6,3760,1.8003676540261906
6,11104,0.9005358188121932
6,7314,4.506649433692731
6,7302,8.921288743882545
6,7316,5.184954742752174
6,1903,11.883303291274451
6,6501,6.348525822834905
6,6507,9.658578366606832
6,5906,8.762528242859625
6,8514,6.016771751256628
6,108,6.346846070848936
6,106,7.98383993843786
6,7317,12.676191083615027
6,7307,8.816676113105359
6,7319,15.978531409081134
6,2500,2.3471729605674945
6,6702,7.544705193459754
6,1906,5.908188972866921
