STATEFIP,PUMA,ees_per_capita,p_hisp,p_black,p_pov,p_noncit,place
36,4003,12.244206796837348,0.1754568782482969,0.45415586614737335,0.12534681064464445,0.10322908389886806,New York City
36,4108,3.5156125155805555,0.1658090702802902,0.04786027038256256,0.04519160088209914,0.17183355172744416,New York City
36,4113,12.86105521175349,0.2583407725711519,0.15746470775143362,0.05857075849964443,0.15505893389417622,New York City
36,3709,19.451920724247614,0.5714582823586983,0.3295938341081478,0.13237093222412527,0.20382921458282358,New York City
36,4009,14.111150876834195,0.08052558924280383,0.6814663326345928,0.03893979057591623,0.1363566644511478,New York City
36,4112,16.696962468847417,0.15652374176461395,0.6261936683144294,0.05112725059426381,0.19556831360679064,New York City
36,3702,21.102754179968617,0.2206996374655051,0.7000162328878308,0.08254423461933878,0.19110167198744657,New York City
36,3701,13.182922465583156,0.5111772349761766,0.18017288461176292,0.12212179695412073,0.18638769091696641,New York City
36,4105,13.9345738579811,0.1199321281980795,0.5874039035765406,0.03677021224157053,0.13311783720246842,New York City
36,4008,28.742652659413938,0.35728554388284495,0.5895980340025581,0.0994208355489128,0.15615883189859592,New York City
36,4013,21.0727969348659,0.1679757343550447,0.0335727969348659,0.08437100893997446,0.18328544061302682,New York City
36,3903,12.849457200499568,0.2694303007013162,0.226030358343741,0.05534686604541405,0.13352627533864925,New York City
36,4007,28.74355238807733,0.21411977792652676,0.7383352364452495,0.19092806236957122,0.1588376579911013,New York City
36,3704,11.547719731962788,0.47410708477002145,0.25530219244030966,0.08695935276977422,0.18243770737102336,New York City
36,3801,12.00875158334567,0.6300564246820971,0.13152050535458717,0.09294779169522174,0.23695898929082565,New York City
36,3707,29.894394800974815,0.7011697806661251,0.3735337124289196,0.18839731395216494,0.3315353371242892,New York City
36,4104,6.229061095304635,0.13823465041499014,0.03503425983602418,0.041627374376936546,0.13714035589824744,New York City
36,3901,6.535290569072994,0.10769404785843555,0.011160265433340037,0.02477624698310539,0.046815302634224815,New York City
36,3802,10.727644858493894,0.34607946926388594,0.23901475051168042,0.11185164153678327,0.18167831180746702,New York City
36,3708,25.570603276825455,0.6454998895097389,0.39195630899390727,0.17670549610127223,0.3018120402815923,New York City
36,3710,30.640350734227553,0.7016966279316134,0.32825920432876443,0.2184428834525808,0.21405870560816206,New York City
36,4109,6.412865194174159,0.30302021285779474,0.02097746864478893,0.04387879684783011,0.34459284472233526,New York City
36,3705,22.710386497133165,0.594928013682307,0.43085248061906833,0.20073858390739294,0.24178150365188622,New York City
36,4107,10.720586239652599,0.5449857511195549,0.07009092142760212,0.08671461528022799,0.4497896593839055,New York City
36,4102,10.037443045969233,0.6488812198312808,0.05575856002165381,0.07664592204389126,0.4457639734740831,New York City
36,4011,14.826308076889923,0.09206102922161882,0.6020170674941815,0.07945866735626239,0.1832600637876045,New York City
36,4103,9.16240360387875,0.1864294622178107,0.017196474171353913,0.08087517921831124,0.33936524903922016,New York City
36,4002,13.192795345026317,0.44016720132205694,0.17876932050160396,0.12051271368856671,0.18872640919885014,New York City
36,3902,7.7344305912198745,0.14051913498128268,0.03924450081984964,0.042624624810471266,0.10393527828481267,New York City
36,4014,12.046761796494561,0.13629808100174762,0.03664930349356092,0.1744679406673229,0.16371718954137468,New York City
36,4018,16.619541991323302,0.15700071226608533,0.10133603850553626,0.11549502492931299,0.23241458202931084,New York City
36,4017,19.29676450272457,0.1702500904535836,0.017257447345050272,0.09309592465490588,0.29382613176620215,New York City
36,3809,16.30266018010558,0.17069920298105787,0.06490011385984888,0.10200894629575713,0.1709062208881068,New York City
36,4110,6.14516697728303,0.37688006850350075,0.023956077167178763,0.045212310482043015,0.21282425829849394,New York City
36,4015,15.562500803848183,0.14813957376753997,0.33923679438206583,0.0770162329296573,0.19419685920438323,New York City
36,4016,9.209799226376864,0.10059934539580884,0.04997378749450954,0.06727404111821131,0.19680632500673023,New York City
36,4010,18.4493740390951,0.06832125338604583,0.8764038362984113,0.06147396810506567,0.1993557361446665,New York City
36,4004,5.048666799732303,0.11420553944417701,0.1844759366451022,0.06402796733951105,0.10744267414965188,New York City
36,4111,16.927916400085305,0.4224514821923651,0.07357645553422905,0.06182021753039028,0.24704094689699296,New York City
36,4106,6.302037254735617,0.19707197653703054,0.15426660041448015,0.07554027990702734,0.19680535188394557,New York City
36,3706,17.944076894270378,0.7449600549244788,0.18718012732492822,0.1724035700911247,0.36215828236175257,New York City
36,4012,22.719304396606127,0.3542809059673235,0.04891662576256924,0.11080569385036113,0.3466937802398149,New York City
36,4101,7.651879744668855,0.22693864400636315,0.06774934052878516,0.06188744623628836,0.17454340428102535,New York City
36,3804,16.773406526379993,0.3981206160414761,0.30489478499542544,0.12423809891212098,0.17585391887770663,New York City
36,3807,4.937368565420134,0.12893846575843468,0.047444454603639025,0.04949563870396666,0.15937642863673768,New York City
36,3810,5.348257518599521,0.07429302720926012,0.022128415483205516,0.03513880610141005,0.1308126486290315,New York City
36,4006,12.944391417476234,0.1063532119088401,0.4931813130058446,0.09276799497632068,0.10071782534224187,New York City
36,3803,17.17445334971655,0.21606300092155603,0.5333016839342065,0.11774972772208105,0.13100058644474852,New York City
36,4114,9.440347689786613,0.23714865875814897,0.3987211000676855,0.08607419021487368,0.1384524954579459,New York City
36,4005,3.6383481899217758,0.12745413582233667,0.07557968682218273,0.04041153415453527,0.10178978743650383,New York City
36,3808,2.06996481059822,0.06961291658041813,0.041161250258745605,0.0313810602247945,0.11966466570068308,New York City
