STATEFIP,PUMA,ees_per_capita,p_hisp,p_black,p_pov,p_noncit,place
12,8620,35.075147560768634,0.801372833732486,0.019008467065190746,0.06043862792057176,0.20190838974900527,Miami
12,8612,57.90512850292844,0.5448723266579284,0.07532644223590118,0.0676193970117396,0.2934246984453551,Miami
12,8622,48.645265134579276,0.6741124921756237,0.22017347759992847,0.06486631494232317,0.25071984261825986,Miami
12,8613,57.94286639151898,0.8543659464271264,0.07119851096544469,0.13244314963178766,0.4897952577486445,Miami
12,8603,53.9542808462303,0.3566129490274031,0.47701618628425385,0.07182663637654409,0.2484914099105495,Miami
12,8604,52.832347892428,0.5705702841884417,0.03875643715430097,0.06172038909021552,0.22761777608239558,Miami
12,8611,69.9843138606864,0.4829090031544654,0.37874269560270973,0.14276110526950855,0.2961577577439539,Miami
12,8617,48.64076095768254,0.8283881893026356,0.03213893242537246,0.05926887302617348,0.25828244068529427,Miami
12,8605,61.97480906290443,0.26047647691438364,0.6781866899983595,0.10555372746883113,0.22721058675561875,Miami
12,8606,60.757907923582835,0.4177053972230922,0.5763649650276647,0.1286981939659672,0.21390541810209834,Miami
12,8607,47.626808641639954,0.9677115590083483,0.01593596638959816,0.08844461346226978,0.3973307256297423,Miami
12,8618,51.09666655080121,0.9176891793249679,0.014234071396294623,0.05054948938125022,0.23294170808856757,Miami
12,8602,40.20265419563925,0.41384119951592724,0.5662215658523578,0.08427533098606049,0.2004799704633561,Miami
12,8610,52.31021259168249,0.8441490747980193,0.09866339029747943,0.10581183216054209,0.3643285304739566,Miami
12,8609,77.17186604437894,0.9712806026365348,0.01570048309178744,0.11074265127323343,0.43386145910095797,Miami
12,8621,46.481515297398694,0.78024203589037,0.056823652451069906,0.05576121781570079,0.1533225983167051,Miami
12,8616,23.153859292858364,0.6241103793816781,0.029473724165417246,0.0383292959287333,0.16418363667419483,Miami
12,8624,58.567000648742166,0.7153823974626973,0.18262091833057018,0.1325055863908311,0.3363547898796223,Miami
12,8615,36.07978014937704,0.953197444067911,0.024851213056159695,0.09503818724394315,0.4148668925867854,Miami
12,8614,11.730969760166841,0.6708666434943807,0.042043216313289306,0.06226103580118179,0.28713358822847873,Miami
12,8619,58.05135714659275,0.8550808012133256,0.02515558809685686,0.06472813486045012,0.24263026689678016,Miami
12,8623,31.9498974742096,0.6159177250401361,0.16222918090635977,0.05929859145973101,0.18073150959291698,Miami
12,8608,57.17536623524392,0.9040819229128146,0.02069406912245769,0.055297966149907556,0.3648698620395392,Miami
12,8601,14.461919263554574,0.8894080347086062,0.0498797157676637,0.05298068499436819,0.2202661549372158,Miami
