STATEFIP,PUMA,ees_per_capita,p_hisp
48,4618,52.797446077026976,0.6822944378504482
48,4616,19.818504224470637,0.3788115851326449
48,4605,39.92533443948979,0.7888796709184556
48,4619,15.215235750675282,0.7371525284644579
48,4622,13.788226975428673,0.5004949619939898
48,4602,40.164596089858435,0.7054202516193814
48,4607,32.35502121640736,0.4368104667609618
48,4620,12.218619296019549,0.3634255995739148
48,4614,17.725400019162596,0.5814090894573792
48,4601,27.57014168399015,0.3849646895778967
48,4621,24.765997741923737,0.24846123028735842
48,4617,19.336375589759456,0.3446360894114007
48,4603,12.803504766605991,0.117267762934625
48,4608,57.53016257511529,0.8181860530115992
48,4609,31.133760466678684,0.6345388106903501
48,4610,37.329371343671646,0.6015043179496703
48,4611,20.539811932346993,0.5999229757052537
48,4613,8.56562137049942,0.2374854819976771
48,4635,11.15022539384189,0.34183405278835277
48,4638,16.574585635359117,0.39059046961325966
48,4606,31.81818181818182,0.7286727272727272
48,4626,6.840940847694457,0.45295761527713085
48,4623,20.496954461954946,0.46249637435947016
48,4624,9.626005996528326,0.20628057440429226
48,4627,9.118289077394932,0.3293222071785803
48,4630,2.751444508366893,0.23353510593061358
48,4636,14.311270125223613,0.31074197120708746
48,4628,11.811023622047244,0.3562083585705633
48,4612,34.69993233513195,0.5152766452105418
48,4631,9.109180029207213,0.22645710732927518
48,4629,6.262861232888969,0.24970922429990158
48,4615,28.6980457997384,0.5566054311539738
48,4604,4.908176203525707,0.15652991942410732
48,4637,11.209521173539995,0.3365762524218101
48,4632,9.38285057053785,0.28374547252237253
48,4625,5.510887535502833,0.3436674250024728
48,4634,3.2643468042044788,0.41649800874844944
48,4633,0.6750371270419873,0.3297218847036587
